Network,CIDR,Total Addresses,Total Usable Hosts
10.0.0.0,/23,512,510
10.0.3.0,/24,256,254
10.1.4.0,/23,512,510
10.10.0.0,/23,512,510
10.15.4.0,/22,1024,1022
10.2.0.0,/22,1024,1022
10.20.4.0,/22,1024,1022
10.3.0.0,/22,1024,1022
10.4.3.0,/24,256,254
10.50.2.0,/24,256,254
172.16.0.0,/23,512,510
172.16.14.0,/23,512,510
172.16.20.0,/24,256,254
172.16.40.0,/24,256,254
172.16.48.0,/22,1024,1022
172.16.60.0,/22,1024,1022
172.16.8.0,/23,512,510
192.168.1.0,/24,256,254
192.168.10.0,/24,256,254
192.168.100.0,/22,1024,1022
192.168.2.0,/24,256,254
192.168.20.0,/22,1024,1022
192.168.3.0,/24,256,254
192.168.4.0,/24,256,254
192.168.6.0,/23,512,510
